iter	Logloss
0	0.678583143
1	0.66697019
2	0.6552828081
3	0.6457045212
4	0.6349123717
5	0.6241231932
6	0.615180117
7	0.6067666203
8	0.6009786767
9	0.5912027177
10	0.5835433853
11	0.5769322808
12	0.569630231
13	0.5654098372
14	0.5575170958
15	0.5496195925
16	0.5435992394
17	0.5380588901
18	0.531956581
19	0.5276665092
20	0.5239877313
21	0.5193465436
22	0.5136415736
23	0.5081816491
24	0.5029398381
25	0.4990695287
26	0.4951856716
27	0.4926495156
28	0.4905069253
29	0.4870434233
30	0.4832022071
31	0.47988584
32	0.4774200945
33	0.4759003596
34	0.4725500577
35	0.4702042285
36	0.4676911022
37	0.4647683317
38	0.462178146
39	0.4607045
40	0.4588733476
41	0.4570717632
42	0.4551036792
43	0.4526372624
44	0.4505116273
45	0.448820102
46	0.447859432
47	0.4459602016
48	0.4435741584
49	0.4422951417
50	0.4408971602
51	0.4387523649
52	0.4370228411
53	0.4356154257
54	0.4349109218
55	0.4334795526
56	0.432917831
57	0.4314719582
58	0.4290468427
59	0.4278284843
60	0.4270906319
61	0.4249491439
62	0.4235288032
63	0.4230604079
64	0.421952782
65	0.4204310628
66	0.4193080474
67	0.4180421963
68	0.4177273304
69	0.4169275348
70	0.4152717126
71	0.4139412764
72	0.4122983226
73	0.411580787
74	0.4109162546
75	0.4100632099
76	0.4092013002
77	0.4082191233
78	0.4079214401
79	0.406849349
80	0.4055980344
81	0.4052693024
82	0.4043889957
83	0.4035778369
84	0.4028029809
85	0.4020915339
86	0.401942644
87	0.4017178002
88	0.4010653179
89	0.4002995006
90	0.4001853335
91	0.3996566914
92	0.399148971
93	0.3985877046
94	0.3983258384
95	0.3977019609
96	0.3967743315
97	0.3962836201
98	0.3959680216
99	0.3953546007
100	0.3949183973
101	0.3945649792
102	0.3945063349
103	0.3944343543
104	0.3942348005
105	0.393956857
106	0.3934443499
107	0.3926753364
108	0.3921949704
109	0.3914750856
110	0.3909427388
111	0.3905613859
112	0.3903531581
113	0.3900281768
114	0.3895891462
115	0.3888537003
116	0.388203111
117	0.3879727083
118	0.3873060958
119	0.3866668877
120	0.386404323
121	0.3860745508
122	0.3856909252
123	0.385510579
124	0.3853246754
125	0.3850089069
126	0.3848842707
127	0.3844889204
128	0.3840716639
129	0.3839916985
130	0.3837148462
131	0.3835883189
132	0.3830340744
133	0.3827101373
134	0.3818598531
135	0.3816234514
136	0.3814777617
137	0.3809928981
138	0.380970574
139	0.3807837626
140	0.3802856163
141	0.3800540126
142	0.3797282759
143	0.3793101899
144	0.3791506559
145	0.3788863331
146	0.3787461918
147	0.3785520497
148	0.3782966794
149	0.3780704197
150	0.3779855815
151	0.3779129792
152	0.3777303429
153	0.3773904149
154	0.3771976678
155	0.3765841861
156	0.376506871
157	0.3761691279
158	0.3760621167
159	0.375729651
160	0.3754515233
161	0.3751761886
162	0.3751605048
163	0.3750247304
164	0.374861453
165	0.3748250191
166	0.3746781715
167	0.374584538
168	0.3743292559
169	0.3741103901
170	0.3740210836
171	0.3738512078
172	0.3738290513
173	0.3734517565
174	0.3732201285
175	0.3730843716
176	0.3730049973
177	0.3729088348
178	0.3727439245
179	0.3721893701
180	0.3720840599
181	0.372072477
182	0.3719685129
183	0.3718616442
184	0.3715844649
185	0.3713617519
186	0.3710189795
187	0.3707062171
188	0.3705428069
189	0.3700888894
190	0.3698312922
191	0.3695624988
192	0.3691399831
193	0.3688644732
194	0.3686416312
195	0.3683289199
196	0.3681562814
197	0.3680483575
198	0.367991703
199	0.3677577201
200	0.367553148
201	0.3674802577
202	0.3674267578
203	0.3669997867
204	0.3664742569
205	0.3661955049
206	0.3660301112
207	0.3657182672
208	0.3656689088
209	0.3654877724
210	0.3651540948
211	0.3649578307
212	0.3649335899
213	0.3648586085
214	0.3646063065
215	0.3645428189
216	0.3641221114
217	0.3640421156
218	0.3639469644
219	0.3636796067
220	0.363587866
221	0.3633986059
222	0.3631570371
223	0.3629060426
224	0.3628281513
225	0.3625728377
226	0.3623413096
227	0.3622855357
228	0.3620450652
229	0.3618096594
230	0.361666176
231	0.3614664402
232	0.3613736146
233	0.3610078488
234	0.3606143274
235	0.3604294274
236	0.3603575978
237	0.3600651505
238	0.3598641346
239	0.3597889373
240	0.3597182772
241	0.3596526641
242	0.359249205
243	0.3591720826
244	0.3590287982
245	0.3588879745
246	0.3588493076
247	0.3588011277
248	0.3585048136
249	0.3583557533
250	0.357998879
251	0.3577512446
252	0.3574132553
253	0.357222511
254	0.357091396
255	0.3570220474
256	0.3568881855
257	0.3567506094
258	0.3565724831
259	0.35652782
260	0.3562396352
261	0.3561901313
262	0.3560511411
263	0.356021668
264	0.3558762562
265	0.3558277747
266	0.3557582956
267	0.355522793
268	0.3554794154
269	0.3553967361
270	0.3552877565
271	0.3550491341
272	0.3549367174
273	0.3548242579
274	0.3544885307
275	0.3542695809
276	0.3541001609
277	0.3540292716
278	0.3537100031
279	0.3536627908
280	0.3535861797
281	0.3534975255
282	0.3533662375
283	0.3531941027
284	0.3530637209
285	0.3529437107
286	0.3528075901
287	0.3527459454
288	0.3524502374
289	0.352409968
290	0.352313239
291	0.3521228449
292	0.351899553
293	0.3517171772
294	0.3516376209
295	0.3515581636
296	0.3514029913
